Dryocampa,rubicunda,Rosy maple moth,Quercus,
Udea,rubigalis,Celery leaftier,Eryngium,
Papaipema,rutila,Mayapple borer,Podophyllum,
Carposina,sasakii,Peach fruit moth,Cornus,
Parapoynx,seminealis,Floating-heart waterlilly moth,Orontium,
Parapoynx,seminealis,Floating-heart waterlilly moth,Sparganium,
Sparganothis,sulfureana,Sparganothis fruitworm moth,Comandra,
Sparganothis,sulfureana,Sparganothis fruitworm moth,Helenium,
Cycnia,tenera,Delicate cycnia,Apocynum,
Cycnia,tenera,Delicate cycnia,Asclepias,
Amphipyra,tragopoginis,Mouse-colored pyrophila,Apocynum,
Amphipyra,tragopoginis,Mouse-colored pyrophila,Cercis,
Amphipyra,tragopoginis,Mouse-colored pyrophila,Chaerophyllum,
Papaipema,unimoda,Meadow rue borer,Polemonium,
Papaipema,unimoda,Meadow rue borer,Rudbeckia,
Papaipema,unimoda,Meadow rue borer,Woodwardia,
Elaphria,versicolor,Variegated midget,Chamaecyparis,
Elaphria,versicolor,Variegated midget,Juniperus,
Darapsa,versicolor,Hydrangea sphinx,Justicia,
Bactra,verutana,Javelin moth,Scirpus,
Heliothis,virescens,Tobacco budworm moth,Stylosanthes,
Vanessa,virginiensis,American lady,Anaphalis,
Vanessa,virginiensis,American lady,Antennaria,
Heliocoverpa,zea,Corn earworm moth,Crotalaria,
Heliocoverpa,zea,Corn earworm moth,Phlox,
